Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Projection
WR,Laquon Treadwell (28793185),Laquon Treadwell,28793185,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Makai Polk (28793187),Makai Polk,28793187,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Shemar Bridges (28793189),Shemar Bridges,28793189,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Tarik Black (28793191),Tarik Black,28793191,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Dontay Demus Jr. (28793193),Dontay Demus Jr.,28793193,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Sean Ryan (28793195),Sean Ryan,28793195,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0
WR,Noah Brown (28793197),Noah Brown,28793197,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,3.7
WR,Tank Dell (28793199),Tank Dell,28793199,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,6.7
WR,Xavier Hutchinson (28793201),Xavier Hutchinson,28793201,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Jalen Camp (28793205),Jalen Camp,28793205,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Steven Sims Jr. (28793207),Steven Sims Jr.,28793207,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Alex Bachman (28793209),Alex Bachman,28793209,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Johnny Johnson III (28793211),Johnny Johnson III,28793211,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Jared Wayne (28793213),Jared Wayne,28793213,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
WR,Jesse Matthews (28793215),Jesse Matthews,28793215,WR/FLEX,3000,HOU@BAL 09/10/2023 01:00PM ET,HOU,0
